Silver results of stdin

Query-def :sp|P96368|TRCS_MYCTU Sensor histidine kinase TrcS OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=trcS PE=1 SV=1
Length :509

id,hit,score,evalue,identity,positive,gaps,align-length 
WP_052630949,1,2060,0,508,509,0,509
WP_057126492,1,2060,0,508,508,0,509
WP_031678289,1,2055,0,508,508,0,509
CNW31936,1,2055,0,506,507,0,509
WP_057319407,1,2054,0,508,509,0,509
WP_031651602,1,2052,0,508,509,0,509
WP_128886459,1,2052,0,508,508,0,509
WP_031703325,1,2052,0,508,509,0,509
WP_003405324,1,2052,0,509,509,0,509
WP_107905105,1,2052,0,508,509,0,509
WP_031714251,1,2052,0,508,509,0,509
WP_057287989,1,2051,0,508,509,0,509
WP_157154880,1,2051,0,507,507,0,509
WP_252339338,1,2050,0,508,509,0,509
WP_031699159,1,2050,0,508,509,0,509
WP_050302961,1,2050,0,508,508,0,509
WP_057334707,1,2050,0,508,509,0,509
WP_055374382,1,2050,0,508,509,0,509
WP_055370806,1,2049,0,508,509,0,509
WP_070900366,1,2049,0,508,508,0,509
WP_075878440,1,2049,0,508,508,0,509
WP_031656161,1,2049,0,508,508,0,509
WP_072473478,1,2049,0,508,508,0,509
WP_003910257,1,2049,0,508,508,0,509
WP_128896893,1,2049,0,508,509,0,509
WP_129368611,1,2049,0,507,507,0,509
WP_055374170,1,2048,0,506,506,0,509
WP_151220811,1,2048,0,508,508,0,509
WP_046622977,1,2048,0,508,508,0,509
WP_031737446,1,2048,0,508,508,0,509
WP_086159399,1,2048,0,508,509,0,509
WP_152280413,1,2047,0,508,508,0,509
WP_057173684,1,2047,0,508,508,0,509
WP_055391099,1,2047,0,508,508,0,509
WP_003903290,1,2047,0,508,508,0,509
WP_031700633,1,2046,0,508,508,0,509
WP_057346366,1,2046,0,508,508,0,509
WP_140027273,1,2046,0,507,508,0,509
WP_057133162,1,2046,0,508,508,0,509
WP_031738429,1,2046,0,507,508,0,509
WP_057351064,1,2046,0,508,508,0,509
WP_055367679,1,2046,0,508,508,0,509
WP_196110809,1,2045,0,508,508,0,509
WP_057331534,1,2045,0,508,508,0,509
WP_055376818,1,2045,0,508,508,0,509
WP_070892751,1,2045,0,508,508,0,509
WP_031651129,1,2045,0,508,509,0,509
WP_044098471,1,2045,0,508,508,0,509
WP_055373974,1,2045,0,508,508,0,509
WP_031742787,1,2045,0,508,508,0,509
WP_031703067,1,2045,0,507,507,0,509
WP_031733404,1,2044,0,507,507,0,509
WP_055383332,1,2044,0,508,508,0,509
WP_012054256,1,2044,0,508,508,0,509
WP_057135838,1,2044,0,508,508,0,509
WP_024918713,1,2044,0,508,508,0,509
WP_057340560,1,2044,0,508,508,0,509
WP_031709954,1,2044,0,508,508,0,509
WP_128886100,1,2044,0,508,508,0,509
WP_070900931,1,2044,0,508,508,0,509
WP_057344277,1,2043,0,507,508,0,509
WP_015289511,1,2043,0,506,507,0,509
WP_057310856,1,2043,0,506,506,0,509
WP_031699985,1,2043,0,508,508,0,509
WP_050174965,1,2042,0,507,508,0,509
WP_015302774,1,2042,0,507,507,0,509
WP_052655703,1,2042,0,507,508,0,509
WP_050069101,1,2042,0,508,508,0,509
WP_031688796,1,2041,0,507,507,0,509
WP_057141288,1,2041,0,507,507,0,509
